index,is_incorrect,model_answer,correct_answer,predictive_entropy,shannon_entropy
0,False,"Natalia sold 48 clips in April. In May, she sold half as many, which is 48 / 2 = 24 clips. Together, she sold 48 (April) + 24 (May) = 72 clips in total. The answer is 72.","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72",0.14013829827308655,0.09888453036546707
1,False,"Weng earns $12 per hour. There are 60 minutes in an hour, so for 50 minutes, she earns (50/60) * $12. That is approximately 0.833 * $12 = $10. 

The answer is $10.","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10",0.26649147272109985,0.37391287088394165
2,False,"Betty needs $100 for the wallet. She has half of the money, which is $100 / 2 = $50. Her parents give her $15, so now she has $50 + $15 = $65. Her grandparents give her twice as much as her parents, which is 2 * $15 = $30. So, now she has $65 + $30 = $95. She still needs $100 - $95 = $5 more to buy the wallet. The answer is 5.","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5",0.14739525318145752,0.17302721738815308
3,False,"Julie read 12 pages yesterday. Today, she read twice as many, which is 12 x 2 = 24 pages. In total, she has read 12 + 24 = 36 pages. So she has 120 - 36 = 84 pages left to read. Half of the remaining pages is 84 / 2 = 42 pages. The answer is 42.","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42",0.16475678980350494,0.1631375551223755
4,False,"James writes 3 pages to each of 2 friends, so he writes 3 * 2 = 6 pages in one session. He does this twice a week, so that's 6 * 2 = 12 pages a week. There are 52 weeks in a year, so in a year he writes 12 * 52 = 624 pages. The answer is 624.","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624",0.24510759115219116,0.2336658090353012
5,False,"There are 10 yellow flowers in the garden. There are 80% more yellow flowers than purple flowers, which means there are 10 * 1.8 = 18 purple flowers. The total number of yellow and purple flowers is 10 + 18 = 28. There are 25% as many green flowers as there are yellow and purple flowers, which means there are 28 * 0.25 = 7 green flowers. The total number of flowers in the garden is 10 (yellow) + 18 (purple) + 7 (green) = 35 flowers. The answer is 35.","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35",0.16367773711681366,0.1657005101442337
6,False,"Two large pizzas would have 2 x 16 = 32 slices. Two small pizzas would have 2 x 8 = 16 slices. So, in total Albert could eat 32 + 16 = 48 pieces of pizza in one day. The answer is 48.","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48",0.2985224425792694,0.16756922006607056
7,False,"1. Ken starts with the box on the scale.
2. He then adds enough jelly beans to bring the weight to 2 pounds.
3. He adds enough brownies to triple the weight (2 pounds x 3 = 6 pounds).
4. He then adds another 2 pounds of jelly beans (6 + 2 = 8 pounds).
5. Finally, he adds enough gummy worms to double the weight (8 x 2 = 16 pounds).

The final weight of the box of goodies is 16 pounds.","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16",0.2219461351633072,0.19364383816719055
8,False,"Alexis had a budget of $200. She spent $30 on a shirt, $46 on pants, $38 on a coat, $11 on socks, and $18 on a belt. So, her total spending on these items is $30 + $46 + $38 + $11 + $18 = $143. Since she has $16 left from her budget, she spent $200 - $16 = $184 in total. Now, to find the cost of the shoes, we subtract the cost of the other items from the total amount spent. So, $184 - $143 = $41. The answer is $41.","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41",0.18292826414108276,0.19053705036640167
9,False,"Tina's regular hourly wage is $18.00. For each hour beyond 8, she earns her regular wage plus half her regular wage, which is $18 + ($18 / 2) = $18 + $9 = $27.

She works 10 hours per day, so she works 10 - 8 = 2 hours of overtime per day.

She works 5 days a week, so the total overtime for the week is 2 hours/day x 5 days = 10 hours.

The regular pay for 40 hours is 40 hours x $18/hour = $720.
The overtime pay for 10 hours is 10 hours x $27/hour = $270.

The total earnings for the week are $720 + $270 = $990. The answer is 990.","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990",0.2740355432033539,0.30958274006843567
10,False,"The monster has been living for three hundred years and has consumed 847 people. Let x be the number of people on the ship the monster ate in the first hundred years. In the next hundred years, the ship would have twice as many people, so there would be 2x people. In the last hundred years, the ship would have 4x people. Together, the monster has consumed x + 2x + 4x = 7x people. We know that 7x = 847, so x = 847 / 7 = 121. The answer is 121.","Let S be the number of people on the first hundred years’ ship.
The second hundred years’ ship had twice as many as the first, so it had 2S people.
The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
All the ships had S + 2S + 4S = 7S = 847 people.
Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
#### 121",0.35891976952552795,0.35675790905952454
11,False,"First, let's calculate how much money Tobias had before buying the shoes. Since he has $15 in change after the purchase, he must have had $95 (cost of shoes) + $15 (change left) = $110 total.

Next, let's calculate how much money Tobias made from his allowance in three months: $5/month * 3 months = $15.

Now let's find out how much money Tobias made from mowing 4 lawns: 4 lawns * $15/lawn = $60.

We'll add the allowance money and lawn mowing income: $15 (allowance) + $60 (lawns) = $75.

Now we can calculate the amount of money Tobias made from shoveling driveways: $110 (total) - $75 (allowance and lawns) = $35.

Since each shoveling job pays $7, divide the total money earned by shoveling by $7/job to find the number of jobs: $35 / $7/job = 5 jobs.

So, Tobias shoveled 5 driveways.","He saved up $110 total because 95 + 15 = <<95+15=110>>110
He saved $15 from his allowance because 3 x 5 = <<3*5=15>>15
He earned $60 mowing lawns because 4 x 15 = <<4*15=60>>60
He earned $35 shoveling driveways because 110 - 60 - 15 = <<110-60-15=35>>35
He shoveled 5 driveways because 35 / 7 = <<35/7=5>>5
#### 5",0.3549211323261261,0.30112743377685547
12,False,"Half of the number of mango trees is 60 / 2 = 30. Randy has 5 less than half the number of mango trees, so he has 30 - 5 = 25 coconut trees. In total, Randy has 60 mango trees + 25 coconut trees = 85 trees. The answer is 85.","Half of the number of Randy's mango trees is 60/2 = <<60/2=30>>30 trees.
So Randy has 30 - 5 = <<30-5=25>>25 coconut trees.
Therefore, Randy has 60 + 25 = <<60+25=85>>85 treeson his farm.
#### 85",0.10513947904109955,0.1736217439174652
13,True,"Jasper buys 2 pounds of cheddar cheese for $10, so 1 pound of cheddar cheese costs $10/2 = $5. The cream cheese costs half the price of the cheddar cheese, so it costs $5/2 = $2.50. The pack of cold cuts costs twice the price of the cheddar cheese, so it costs $5 x 2 = $10. Jasper spends $10 (cheddar cheese) + $2.50 (cream cheese) + $10 (cold cuts) = $22.50 on the ingredients. The answer is $22.50.","A pound of cream cheese cost $10 / 2 = $<<10/2=5>>5.
A pack of cold cuts cost $10 x 2 = $<<10*2=20>>20.
Jasper spent $10 + $5 + $20 = $<<10+5+20=35>>35 on the ingredients.
#### 35",0.11519689857959747,0.14153845608234406
14,False,"First, determine how many pages Joy can read per minute: 8 pages / 20 minutes = 0.4 pages/minute. Then, calculate how long it will take her to read 120 pages: 120 pages / 0.4 pages/minute = 300 minutes. To convert minutes to hours, divide by 60: 300 minutes / 60 = 5 hours. The answer is 5.","In one hour, there are 3 sets of 20 minutes.
So, Joy can read 8 x 3 = <<8*3=24>>24 pages in an hour.
It will take her 120/24 = <<120/24=5>>5 hours to read 120 pages.
#### 5",0.20048071444034576,0.19261877238750458
15,True,"First, let's calculate the cost to produce one DVD: $6.
The selling price of one DVD is 2.5 times the cost, so each DVD is sold for $6 * 2.5 = $15.
James sells 500 DVDs per day, so in one day, his profit from selling DVDs is (selling price - cost) * number sold: ($15 - $6) * 500 = $9 * 500 = $4500.
In a week, he sells DVDs for 5 days, so his weekly profit from selling DVDs is $4500 * 5 = $22500.
In 20 weeks, his profit from selling DVDs is $22500 * 20 = $450,000.
Now let's calculate the cost of creating the movie: $2000.
To calculate his total profit, we subtract the cost of the movie from his total revenue: $450,000 - $2000 = $448,000.
The answer is 448,000.","He sold each DVD for 6*2.5=$<<6*2.5=15>>15
So he makes a profit of 15-6=$<<15-6=9>>9
So each day he makes a profit of 9*500=$<<9*500=4500>>4500
So he makes 4500*5=$<<4500*5=22500>>22,500
He makes 22,500*20=$<<22500*20=450000>>450,000
Then after the cost of creating the movie he has a profit of 450,000-2000=$<<450000-2000=448000>>448,000
#### 448000",0.24813751876354218,0.26881611347198486
