index,is_incorrect,model_answer,correct_answer,predictive_entropy,shannon_entropy
0,False,"Natalia sold 48 clips in April. In May, she sold half as many as in April, which is 48 / 2 = 24 clips. To find the total number of clips sold in both months, we add the amounts from April and May: 48 + 24 = 72 clips.
#### 72","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72",0.17789658904075623,0.18057432770729065
1,False,"Weng earns $12 per hour. Since she did 50 minutes of babysitting, we need to find out how much she earns per minute. There are 60 minutes in an hour, so she earns $12/60 per minute, which is $0.20 per minute. For 50 minutes, she earns 50 * $0.20 = $10.
#### 10","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10",0.1776888072490692,0.22812983393669128
2,False,"Let's break down Betty's situation step by step:

1. Betty has half of the money she needs for the wallet:

Half of $100 is $100/2 = $50.

2. Her parents give her $15.

3. Her grandparents give her twice as much as her parents, which is 2 * $15 = $30.

4. Now, let's calculate the total amount of money Betty has after receiving money from her parents and grandparents:

Betty's initial savings ($50) + parents' contribution ($15) + grandparents' contribution ($30) = $50 + $15 + $30 = $95.

5. Finally, let's determine how much more money Betty needs to buy the wallet:

The total cost of the wallet is $100, and Betty has $95. To find the difference, subtract Betty's savings from the wallet's cost: $100 - $95 = $5.

#### 5","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5",0.2789505422115326,0.2508535385131836
3,False,"Yesterday, Julie read 12 pages. Today, she read twice as many as yesterday, so she read 12 * 2 = 24 pages. In total, she has read 12 + 24 = 36 pages. The book has 120 pages, so there are 120 - 36 = 84 pages remaining. Julie wants to read half of the remaining pages tomorrow, so she should read 84 / 2 = 42 pages.
#### 42","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42",0.06799682974815369,0.1135597974061966
4,False,"James writes 3 pages to each of 2 friends, which totals 3 * 2 = 6 pages per week. He does this twice a week, so he writes 6 * 2 = 12 pages per week. There are 52 weeks in a year. Therefore, the total number of pages he writes in a year is 12 * 52 = 624 pages.
#### 624","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624",0.17688381671905518,0.2586308717727661
5,False,"There are 10 yellow flowers. The purple flowers are 80% more than the yellow flowers. So, we calculate the number of purple flowers as 10 + (0.80 * 10) = 18. The green flowers are 25% as many as the total of yellow and purple flowers combined. So we have (10 + 18) * 0.25 = 28 * 0.25 = 7 green flowers. To find the total number of flowers in the garden, we add all three categories together: 10 (yellow) + 18 (purple) + 7 (green) = 35 flowers.
#### 35","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35",0.274682879447937,0.2674292325973511
6,False,"Two large pizzas would have 2 * 16 = 32 slices. Two small pizzas would have 2 * 8 = 16 slices. In total, Albert eats 32 + 16 = 48 slices of pizza in one day.
#### 48","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48",0.15109872817993164,0.16536018252372742
7,False,"1. Ken starts with the box on the scale.
2. He adds jelly beans until the weight is 2 pounds.
3. He adds brownies, which causes the weight to triple. Now the box weighs 2 pounds * 3 = 6 pounds.
4. Ken adds another 2 pounds of jelly beans. The weight is now 6 + 2 = 8 pounds.
5. Finally, he adds gummy worms, which doubles the weight. The final weight is 8 * 2 = 16 pounds.
#### 16","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16",0.2224133163690567,0.2478458285331726
8,False,"To find out how much Alexis paid for the shoes, we first need to calculate the total amount spent on other items and then subtract that from her budget.

First, calculate the total amount spent on items with receipts:
Button-up shirt: $30
Suit pants: $46
Suit coat: $38
Socks: $11
Belt: $18

Total spent on these items: $30 + $46 + $38 + $11 + $18 = $143

Alexis has $16 left from her $200 budget. So, she spent $200 - $16 = $184 in total.

Now, we can find the amount spent on the shoes by subtracting the total spent on items with receipts from the overall total spent:
$184 (total spent) - $143 (spent on items with receipts) = $41

Therefore, Alexis paid $41 for the shoes.
#### 41","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41",0.2344517707824707,0.22346380352973938
9,False,"Tina works 10 hours per day, which means she works 2 hours of overtime each day (10 hours - 8 hours = 2 hours). She earns her regular wage for the first 8 hours ($18.00/hour * 8 hours = $144.00). For the 2 hours of overtime, she earns 1.5 times her hourly wage ($18.00 * 1.5 = $27.00/hour). So, for 2 hours of overtime, she earns $27.00/hour * 2 hours = $54.00.

Her total earnings per day are her regular wage + overtime earnings, which are $144.00 + $54.00 = $198.00. Tina works for 5 days, so her total earnings for the week are 5 days * $198.00/day = $990.00.
#### 990","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990",0.22007443010807037,0.27005723118782043
