scenario,run,domain,benchmark,sequence_negative_log_likelihood,max_token_negative_log_likelihood,predictive_entropy,shannon_entropy,model
gsm,"gsm:model=microsoft_phi-3.5-mini-instruct,stop=none",mathematical_reasoning,0,0.13496064679834477,3.94036903142929,0.041423791175286426,0.13567139206316634,microsoft_phi-3.5-mini-instruct
math,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-3.5-mini-instruct",mathematical_reasoning,0,0.13389032893029232,3.9004038116511173,0.039776763175713874,0.1284112564264422,microsoft_phi-3.5-mini-instruct
math,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-3.5-mini-instruct",mathematical_reasoning,0,0.1750374140095699,6.830051422119141,0.051948135525048254,0.15008990589303867,microsoft_phi-3.5-mini-instruct
math,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-3.5-mini-instruct",mathematical_reasoning,0,0.17764121562888185,3.2215611934661865,0.05904341175284515,0.20880034057640756,microsoft_phi-3.5-mini-instruct
math,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-3.5-mini-instruct",mathematical_reasoning,0,0.26411772430509933,6.099819558007376,0.06313738975118338,0.26134168772271643,microsoft_phi-3.5-mini-instruct
math,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-3.5-mini-instruct",mathematical_reasoning,0,0.17098078701403624,3.8188851833343507,0.04720140152975492,0.1726639686206723,microsoft_phi-3.5-mini-instruct
math,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-3.5-mini-instruct",mathematical_reasoning,0,0.22898388672963554,4.399301018033709,0.06550347710098235,0.2418616276472237,microsoft_phi-3.5-mini-instruct
math,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=microsoft_phi-3.5-mini-instruct",mathematical_reasoning,0,0.11823000789722313,4.887301921844482,0.031255252980604394,0.10368061009028626,microsoft_phi-3.5-mini-instruct
commonsense,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=microsoft_phi-3.5-mini-instruct",knowledge_qa,0,0.11770016373915274,0.7904965886680202,0.038819767169624035,0.13838397897187693,microsoft_phi-3.5-mini-instruct
mmlu,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=microsoft_phi-3.5-mini-instruct",knowledge_qa,0,0.41921790073921605,5.702226293087005,0.09675973663308247,0.42490582423947176,microsoft_phi-3.5-mini-instruct
mmlu,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=microsoft_phi-3.5-mini-instruct",knowledge_qa,0,0.39696055895468685,4.8041297907754785,0.0901596045331,0.39741090030970455,microsoft_phi-3.5-mini-instruct
mmlu,"mmlu:subject=computer_security,method=multiple_choice_joint,model=microsoft_phi-3.5-mini-instruct",knowledge_qa,0,0.07098601227907227,0.4285330220486868,0.019966495901129134,0.07454132830236387,microsoft_phi-3.5-mini-instruct
mmlu,"mmlu:subject=econometrics,method=multiple_choice_joint,model=microsoft_phi-3.5-mini-instruct",knowledge_qa,0,0.39420591849866615,4.235172822885214,0.08876377413121893,0.4036549563567898,microsoft_phi-3.5-mini-instruct
mmlu,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=microsoft_phi-3.5-mini-instruct",knowledge_qa,0,0.026914371901321822,0.0911578354085577,0.01167575099752886,0.038244664115510765,microsoft_phi-3.5-mini-instruct
narrative_qa,narrative_qa:model=microsoft_phi-3.5-mini-instruct,knowledge_qa,0,0.22191073726024538,1.3950277098704837,0.054082001497258766,0.23005064165373545,microsoft_phi-3.5-mini-instruct
natural_qa,"natural_qa:mode=closedbook,model=microsoft_phi-3.5-mini-instruct",knowledge_qa,0,0.4430593925779286,3.330511447452009,0.09228664099164177,0.4496936608987029,microsoft_phi-3.5-mini-instruct
legalbench,"legalbench:subset=abercrombie,model=microsoft_phi-3.5-mini-instruct",specialized_domains,0,0.6164745701956494,5.635102287091703,0.1306375380073863,0.5964684068662003,microsoft_phi-3.5-mini-instruct
legalbench,"legalbench:subset=corporate_lobbying,model=microsoft_phi-3.5-mini-instruct",specialized_domains,0,0.258710677894793,2.613217179775239,0.06683207759716692,0.2629664816607518,microsoft_phi-3.5-mini-instruct
legalbench,"legalbench:subset=function_of_decision_section,model=microsoft_phi-3.5-mini-instruct",specialized_domains,0,0.7782978731894264,6.4805274927616106,0.13431920630634755,0.7840591330833007,microsoft_phi-3.5-mini-instruct
legalbench,"legalbench:subset=international_citizenship_questions,model=microsoft_phi-3.5-mini-instruct",specialized_domains,0,0.6695826195991639,5.916228594779971,0.13263653919457935,0.6641893393065176,microsoft_phi-3.5-mini-instruct
legalbench,"legalbench:subset=proa,model=microsoft_phi-3.5-mini-instruct",specialized_domains,0,0.6203795571539087,5.510097568913508,0.1281023417083774,0.6298224024261817,microsoft_phi-3.5-mini-instruct
med_qa,med_qa:model=microsoft_phi-3.5-mini-instruct,specialized_domains,0,0.37996341525564287,4.137185027808883,0.09315397378902698,0.3959531841227723,microsoft_phi-3.5-mini-instruct
wmt_14,"wmt_14:language_pair=cs-en,model=microsoft_phi-3.5-mini-instruct",language_tasks,0,0.6282351706742766,5.920286910533908,0.11243805006551946,0.6366902323109914,microsoft_phi-3.5-mini-instruct
wmt_14,"wmt_14:language_pair=de-en,model=microsoft_phi-3.5-mini-instruct",language_tasks,0,0.6651427508920768,6.403478333950044,0.10982033661198835,0.6481068773987743,microsoft_phi-3.5-mini-instruct
wmt_14,"wmt_14:language_pair=fr-en,model=microsoft_phi-3.5-mini-instruct",language_tasks,0,0.6580336847751633,6.067205061912537,0.11449372791549005,0.6623007189835983,microsoft_phi-3.5-mini-instruct
wmt_14,"wmt_14:language_pair=hi-en,model=microsoft_phi-3.5-mini-instruct",language_tasks,0,0.599612471892432,6.410375162363053,0.11017536914534691,0.6045414952693879,microsoft_phi-3.5-mini-instruct
wmt_14,"wmt_14:language_pair=ru-en,model=microsoft_phi-3.5-mini-instruct",language_tasks,0,0.6615845757874278,6.360454013347628,0.11785843899616254,0.6598198646473568,microsoft_phi-3.5-mini-instruct
