index,is_incorrect,model_answer,correct_answer,predictive_entropy,shannon_entropy
0,False,"Natalia sold 48 clips in April. In May, she sold half as many, which is 48 / 2 = 24 clips. Together, she sold 48 (April) + 24 (May) = 72 clips in total. The answer is 72.","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72",0.140003591775894,0.11962890625
1,False,"Weng earns $12 per hour. There are 60 minutes in an hour, so for 50 minutes, she earns (50/60) * $12. That is approximately 0.833 * $12 = $10. 

The answer is $10.","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10",0.264615088701248,0.4140625
2,False,"Betty needs $100 for the wallet. She has half of the money, which is $100 / 2 = $50. Her parents give her $15, so now she has $50 + $15 = $65. Her grandparents give her twice as much as her parents, which is 2 * $15 = $30. So, now she has $65 + $30 = $95. She still needs $100 - $95 = $5 more to buy the wallet. The answer is 5.","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5",0.151926055550575,0.1923828125
3,False,"Julie read 12 pages yesterday. Today, she read twice as many, which is 12 x 2 = 24 pages. In total, she has read 12 + 24 = 36 pages. So she has 120 - 36 = 84 pages left to read. Half of the remaining pages is 84 / 2 = 42 pages. The answer is 42.","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42",0.164283767342567,0.1826171875
4,True,"There are 52 weeks in a year. James writes a 3-page letter to 2 friends, twice a week. This means he writes 3 pages x 2 friends = 6 pages each week. So in a year, he writes 6 pages x 52 weeks = 312 pages. The answer is 312. ","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624",0.390555560588837,0.337890625
5,False,"First, calculate the number of purple flowers. Since there are 80% more purple flowers than yellow ones, we multiply the number of yellow flowers (10) by 80% (0.80) and add that to the original number of yellow flowers:

80% of yellow flowers: 10 * 0.80 = 8
Purple flowers: 10 + 8 = 18

Now, calculate the number of green flowers. There are 25% as many green flowers as there are yellow and purple flowers combined, so we first find the total number of yellow and purple flowers:

Yellow + Purple flowers: 10 + 18 = 28

Now find 25% of this total for the number of green flowers:

25% of 28 = 0.25 * 28 = 7

Finally, add the number of yellow, purple, and green flowers to find the total:

Yellow + Purple + Green = 10 + 18 + 7 = 35

Mark has a total of 35 flowers in his garden. The answer is 35.","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35",0.231473907828331,0.271484375
6,False,"2 large pizzas have 2 x 16 = 32 slices.
2 small pizzas have 2 x 8 = 16 slices.
In total, Albert eats 32 + 16 = 48 slices of pizza. The answer is 48.","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48",0.137970179319382,0.1708984375
7,False,"First, Ken added 2 pounds of jelly beans, which brings the weight to 2 pounds.

Next, the weight tripled, so 2 pounds * 3 = 6 pounds.

Then, he added another 2 pounds of jelly beans, bringing the weight to 6 + 2 = 8 pounds.

Finally, the weight doubled after adding gummy worms. So, 8 pounds * 2 = 16 pounds.

The final weight of the box of goodies is 16 pounds.","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16",0.232789859175682,0.2451171875
8,False,"Alexis had a budget of $200 and spent $30 on the shirt, $46 on the pants, $38 on the coat, $11 on socks, and $18 on the belt. The total spending on these items is: 30 + 46 + 38 + 11 + 18 = $143. She has $16 left from her budget, so the total amount spent is $200 - $16 = $184. The cost of the shoes is the difference between this total spent and the cost of the other items: $184 - $143 = $41. The answer is $41.","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41",0.230637326836586,0.2314453125
9,True,"Tina works 5 days a week, so she works 10 hours for 5 days which equals 50 hours in total.

For the first 8 hours each day, she is making $18.00 per hour. So for those 40 hours, she earns 40 x $18.00 = $720.00.

For the 2 hours of overtime each day, she earns 1.5 times her hourly wage, which is (1.5 x $18.00) = $27.00 per hour. So for the 10 hours of overtime she works in a day, she earns 10 x $27.00 = $270.00 per day.

Since she works 5 days a week, she will make $270.00 x 5 = $1350.00 in overtime.

Adding the regular pay and the overtime pay, Tina makes $720.00 + $1350.00 = $2070.00 in a week. The answer is 2070.","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990",0.315593838691711,0.39453125
